INFRACAO;AMPARO_LEGAL;PROCEDIMENTO;TIPO_INFRACAO;PONTUACAO;INFRATOR;PALAVRAS_CHAVE
TRANSITAR COM O VEÍCULO COM EXCESSO DE PESO POR PBT OU PBTC E POR EIXO, ADMITIDO PERCENTUAL DE TOLERÂNCIA AFERIDO POR EQUIPAMENTO, NA FORMA A SER ESTABELECIDA PELO CONTRAN;Artigos 100, 231, V, 270 e 275 do CTB, Res. 794/20, 882/21, 955/22 e 994/23 do CONTRAN;"Lavrar o auto de infração mediante abordagem ou sem abordagem, inclusive por meio de videomonitoramento, nos termos e condições estabelecidos pelo CONTRAN. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e de passageiros. Considerar infração transitar com o veículo com excesso de peso por PBT/PBTC e por eixo, aferido por equipamento de pesagem ou veículo transitando e ultrapassando, simultaneamente, o limite legal de PBT/PBTC e o limite de peso por eixos sem Autorização Especial de Trânsito - AET, com AET vencida ou com AET válida ultrapassando os limites autorizados / transitando em percurso não autorizado. Os limites de pesos e dimensões para veículos que transitem por vias terrestres estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do veículo. Transitar com o veículo apenas com excesso de peso por PBT ou PBTC, utilizar código 683-11. Transitar com o veículo apenas com excesso de peso por eixo, utilizar código 683-12. Exemplo do campo de observações: ""CVC transitando com excesso de peso no PBTC e no eixo do semirreboque xxxxxx, já aplicada a tolerância'. Lavrar o auto de infração mediante abordagem ou sem abordagem, inclusive por meio de videomonitoramento, nos termos e condições estabelecidos pelo CONTRAN. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e de passageiros. Considerar infração transitar com o veículo com excesso de peso por PBT/PBTC e por eixo, aferido por equipamento de pesagem ou veículo transitando e ultrapassando, simultaneamente, o limite legal de PBT/PBTC e o limite de peso por eixos sem Autorização Especial de Trânsito - AET, com AET vencida ou com AET válida ultrapassando os limites autorizados / transitando em percurso não autorizado. Os limites de pesos e dimensões para veículos que transitem por vias terrestres estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do veículo. Transitar com o veículo apenas com excesso de peso por PBT ou PBTC, utilizar código 683-11. Transitar com o veículo apenas com excesso de peso por eixo, utilizar código 683-12. Exemplo do campo de observações: ""CVC transitando com excesso de peso no PBTC e no eixo do semirreboque xxxxxx, já aplicada a tolerância'. (Municipal e rodoviário).";MÉDIA;4 PONTOS;EMBARCADOR OU TRANSPORTADOR;transitar, veículo, excesso, peso, pbt, pbtc, eixo, admitido, percentual, tolerância, aferido, equipamento, forma, estabelecida, contran
TRANSITAR COM O VEÍCULO EM DESACORDO COM A AUTORIZAÇÃO ESPECIAL, EXPEDIDA PELA AUTORIDADE COMPETENTE PARA TRANSITAR COM DIMENSÕES EXCEDENTES;Artigos 231,VI e 271 do CTB e Res. 735/18, 794/20, 812/20, 856/21,882/21 e 994/23 do CONTRAN;"Lavrar o auto mediante abordagem. Remover o veículo ao depósito. É necessário instrumento ou equipamento hábil para medir as dimensões do veículo que devem estar de acordo com a legislação metrológica em vigor, quando disponíveis. Podendo ser utilizados os atualmente existentes no mercado nacional. Exemplos de autorização especial em desacordo: fora do itinerário/ horário; com a configuração ou o número de eixos do veículo/combinação diferente do previsto na AET; sem a escolta exigida na AET ou com escolta em quantidade inferior ao nela estabelecida; com divergência na informação da Tara, PBT/PBTC, CMT, distância entre eixos, comprimento, entre outras previstas na legislação ou qualquer outro dado técnico da AET; em desacordo com as demais especificações do campo de Observações da AET; outros casos em que o veículo/combinação transite em desacordo como estabelecido na AET; transitar em desacordo com o estabelecido nos incisos do art. 5º da Resolução 872/21 do CONTRAN; veículo ou combinação de veículos previsto na Resolução 872/21 do CONTRAN, sem a sinalização especial de advertência traseira, quando tal sinalização estiver prevista na própria AET. Transitar com o veículo com suas dimensões ou de sua carga superiores aos limites estabelecidos legalmente, sem autorização, utilizar código 682-31. Transitar com o veículo com autorização vencida, expedida pela autoridade competente para transitar com dimensões excedentes, utilizar código 684-02. A AET é emitida pelo órgão executivo de trânsito conforme Resolução 882/21 do CONTRAN e suas alterações. Os requisitos necessários à circulação de Combinações de Veículos de Carga (CVC) estão definidos na Resolução 872/21 do CONTRAN. Exemplos do campo de observações: ""Veículo transitando em desacordo com o horário previsto na AET""; ""Veículo transitando fora do itinerário previsto na AET""; ""Veículo transitando com a configuração ou o número de eixos do veículo/combinação diferente do previsto na AET""; ""Veículo transitando sem a escolta exigida na AET"". Lavrar o auto mediante abordagem. Remover o veículo ao depósito. É necessário instrumento ou equipamento hábil para medir as dimensões do veículo que devem estar de acordo com a legislação metrológica em vigor, quando disponíveis. Podendo ser utilizados os atualmente existentes no mercado nacional. Exemplos de autorização especial em desacordo: fora do itinerário/ horário; com a configuração ou o número de eixos do veículo/combinação diferente do previsto na AET; sem a escolta exigida na AET ou com escolta em quantidade inferior ao nela estabelecida; com divergência na informação da Tara, PBT/PBTC, CMT, distância entre eixos, comprimento, entre outras previstas na legislação ou qualquer outro dado técnico da AET; em desacordo com as demais especificações do campo de Observações da AET; outros casos em que o veículo/combinação transite em desacordo como estabelecido na AET; transitar em desacordo com o estabelecido nos incisos do art. 5º da Resolução 872/21 do CONTRAN; veículo ou combinação de veículos previsto na Resolução 872/21 do CONTRAN, sem a sinalização especial de advertência traseira, quando tal sinalização estiver prevista na própria AET. Transitar com o veículo com suas dimensões ou de sua carga superiores aos limites estabelecidos legalmente, sem autorização, utilizar código 682-31. Transitar com o veículo com autorização vencida, expedida pela autoridade competente para transitar com dimensões excedentes, utilizar código 684-02. A AET é emitida pelo órgão executivo de trânsito conforme Resolução 882/21 do CONTRAN e suas alterações. Os requisitos necessários à circulação de Combinações de Veículos de Carga (CVC) estão definidos na Resolução 872/21 do CONTRAN. Exemplos do campo de observações: ""Veículo transitando em desacordo com o horário previsto na AET""; ""Veículo transitando fora do itinerário previsto na AET""; ""Veículo transitando com a configuração ou o número de eixos do veículo/combinação diferente do previsto na AET""; ""Veículo transitando sem a escolta exigida na AET"". (Municipal e rodoviário).";GRAVE;5 PONTOS;PROPRIETÁRIO;transitar, veículo, desacordo, autorização, especial, expedida, autoridade, competente, dimensões, excedentes
TRANSITAR COM O VEÍCULO COM AUTORIZAÇÃO VENCIDA, EXPEDIDA PELA AUTORIDADE COMPETENTE PARA TRANSITAR COM DIMENSÕES EXCEDENTES;Artigos 231,VI e 271 do CTB e Res. 735/18, 794/20, 812/20, 856/21,882/21 e 994/23 do CONTRAN;"Lavrar o auto mediante abordagem. Remover o veículo ao depósito. É necessário instrumento ou equipamento hábil para medir as dimensões do veículo que devem estar de acordo com a legislação metrológica em vigor, quando disponíveis. Podendo ser utilizados os atualmente existentes no mercado nacional. Transitar com o veículo com suas dimensões ou de sua carga superiores aos limites estabelecidos legalmente, sem autorização, utilizar código 682-31. Transitar com o veículo em desacordo com a autorização especial, expedida pela autoridade competente para transitar com dimensões excedentes, utilizar código 684-01. A AET é emitida pelo órgão executivo de trânsito conforme Resolução 882/21 do CONTRAN e suas alterações. Exemplo do campo de observações: ""CVC transitando com altura total de 4,50 m, excedendo o limite legal de altura de 4,40 m previsto na regulamentação com a AET vencida"". Lavrar o auto mediante abordagem. Remover o veículo ao depósito. É necessário instrumento ou equipamento hábil para medir as dimensões do veículo que devem estar de acordo com a legislação metrológica em vigor, quando disponíveis. Podendo ser utilizados os atualmente existentes no mercado nacional. Transitar com o veículo com suas dimensões ou de sua carga superiores aos limites estabelecidos legalmente, sem autorização, utilizar código 682-31. Transitar com o veículo em desacordo com a autorização especial, expedida pela autoridade competente para transitar com dimensões excedentes, utilizar código 684-01. A AET é emitida pelo órgão executivo de trânsito conforme Resolução 882/21 do CONTRAN e suas alterações. Exemplo do campo de observações: ""CVC transitando com altura total de 4,50 m, excedendo o limite legal de altura de 4,40 m previsto na regulamentação com a AET vencida"". (Municipal e rodoviário).";GRAVE;5 PONTOS;PROPRIETÁRIO;transitar, veículo, autorização, vencida, expedida, autoridade, competente, dimensões, excedentes
TRANSITAR COM O VEÍCULO COM LOTAÇÃO EXCEDENTE;Artigos 100, 231, VII e 270 do CTB e Res. 508/14 do CONTRAN;"Lavrar o auto de infração. Possível sem abordagem. Reter o veículo até que a irregularidade seja sanada. Conduzir o veículo transportando passageiro excedente em compartimento de carga, utilizar código 656-40. Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro excedente menor de 10 anos de idade ou que não tenha, nas circunstâncias, condições de cuidar da própria segurança, utilizar códigos 707-21 ou 707-22 respectivamente. Exemplo do campo de observações: ""Veículo transportando 5 pessoas adultas excedendo o limite da sua capacidade"". NOTA DO AUTOR: para contagem do excesso de lotação deve ser considerado a lotação constante no CRLV em número de lugares ou de passageiros, neste último caso, excluindo o condutor. Lavrar o auto de infração. Possível sem abordagem. Reter o veículo até que a irregularidade seja sanada. Conduzir o veículo transportando passageiro excedente em compartimento de carga, utilizar código 656-40. Conduzir motocicleta, motoneta ou ciclomotor transportando passageiro excedente menor de 10 anos de idade ou que não tenha, nas circunstâncias, condições de cuidar da própria segurança, utilizar códigos 707-21 ou 707-22 respectivamente. Exemplo do campo de observações: ""Veículo transportando 5 pessoas adultas excedendo o limite da sua capacidade"". NOTA DO AUTOR: para contagem do excesso de lotação deve ser considerado a lotação constante no CRLV em número de lugares ou de passageiros, neste último caso, excluindo o condutor. (Estadual, municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;CONDUTOR;transitar, veículo, lotação, excedente
TRANSITAR COM O VEÍCULO EFETUANDO TRANSPORTE REMUNERADO DE PESSOAS, QUANDO NÃO FOR LICENCIADO PARA ESSE FIM, SALVO CASOS DE FORÇA MAIOR OU COM PERMISSÃO DA AUTORIDADE COMPETENTE;Artigos 135, 231, VIII e 270 do CTB;"Lavrar o auto de infração mediante abordagem. Remover o veículo ao depósito independente de regularização no local. Considerar infração efetuar transporte remunerado de passageiro com veículo sem autorização do poder concedente, em desacordo com a mesma ou em vias cuja circunscrição esteja em desacordo com a autorização. Considerar infração também veículo registrado na categoria particular efetuando transporte remunerado de passageiros sem estar cadastrado nas plataformas de aplicativos ou estando cadastrado, mas sem viagens ativas (abertas). Considerar infração também efetuar transporte remunerado de pessoas, não constando no RENACH que Exerce Atividade Remunerada -EAR. Conduzir o veículo sem portar a autorização para a condução de escolares corresponde ao código 674-20, de competência Estadual/Rodoviário. Conduzir motocicleta, motoneta e ciclomotor efetuando transporte remunerado de passageiros sem autorização, utilizar código 755-22. Para fins deste enquadramento, o termo ""licenciado"" é a autorização do poder concedente para efetuar a atividade remunerada e seu devido registro no órgão executivo de trânsito estadual. Exemplos do campo de observação: ""Táxi realizando viagem iniciada em localidade diversa da autorizada no alvará"", Veículo não autorizado para realização do serviço de transporte remunerado privado individual de passageiros'', ""Veículo registrado na categoria particular sem autorização"" , ""Motorista de aplicativo e/ou veículo diferente do cadatrado na empresa prestadora de serviços eletrônicos de aplicativo de transporte"", ""Motorista de aplicativo não comprovou o serviço por meio de aplicativo de transporte ativo"". Lavrar o auto de infração mediante abordagem. Remover o veículo ao depósito independente de regularização no local. Considerar infração efetuar transporte remunerado de passageiro com veículo sem autorização do poder concedente, em desacordo com a mesma ou em vias cuja circunscrição esteja em desacordo com a autorização. Considerar infração também veículo registrado na categoria particular efetuando transporte remunerado de passageiros sem estar cadastrado nas plataformas de aplicativos ou estando cadastrado, mas sem viagens ativas (abertas). Considerar infração também efetuar transporte remunerado de pessoas, não constando no RENACH que Exerce Atividade Remunerada -EAR. Conduzir o veículo sem portar a autorização para a condução de escolares corresponde ao código 674-20, de competência Estadual/Rodoviário. Conduzir motocicleta, motoneta e ciclomotor efetuando transporte remunerado de passageiros sem autorização, utilizar código 755-22. Para fins deste enquadramento, o termo ""licenciado"" é a autorização do poder concedente para efetuar a atividade remunerada e seu devido registro no órgão executivo de trânsito estadual. Exemplos do campo de observação: ""Táxi realizando viagem iniciada em localidade diversa da autorizada no alvará"", Veículo não autorizado para realização do serviço de transporte remunerado privado individual de passageiros'', ""Veículo registrado na categoria particular sem autorização"" , ""Motorista de aplicativo e/ou veículo diferente do cadatrado na empresa prestadora de serviços eletrônicos de aplicativo de transporte"", ""Motorista de aplicativo não comprovou o serviço por meio de aplicativo de transporte ativo"". (Municipal, estadual e rodoviário).";GRAVÍSSIMA;7 PONTOS;PROPRIETÁRIO;transitar, veículo, efetuando, transporte, remunerado, pessoas, licenciado, fim, salvo, casos, força, maior, permissão, autoridade, competente
TRANSITAR COM O VEÍCULO EFETUANDO TRANSPORTE REMUNERADO DE BENS, QUANDO NÃO FOR LICENCIADO PARA ESSE FIM, SALVO CASOS DE FORÇA MAIOR OU COM PERMISSÃO DA AUTORIDADE COMPETENTE;Artigos 135 e 231, VIII e 270 do CTB;"Lavrar o auto de infração mediante abordagem. Remover o veículo ao depósito independente de regularização no local. Considerar infração efetuar transporte remunerado de bens com veículo sem autorização do poder concedente, em desacordo com a mesma ou em vias cuja circunscrição esteja em desacordo com a autorização. Considerar infração também veículo registrado na categoria particular efetuando transporte remunerado de bens sem estar cadastrado nas plataformas de aplicativos ou estando cadastrado, mas sem viagens ativas (abertas). Considerar infração também efetuar transporte remunerado de bens, não constando no RENACH que Exerce Atividade Remunerada - EAR ou motofretista efetuar a prestação do serviço com veículo que não esteja registrado na categoria aluguel. Conduzir motocicleta, motoneta e ciclomotor efetuando transporte remunerado de mercadoria sem autorização, em veículo que esteja registrado na categoria aluguel, utilizar código 755-21. Para fins deste enquadramento, o termo ""licenciado"" é a autorização do poder concedente para efetuar a atividade remunerada e seu devido registro no órgão executivo de trânsito estadual. Exemplo do campo de observação: ""Veículo transportando (discriminar a carga/bem) sem autorização para transporte remunerado de bens"". Lavrar o auto de infração mediante abordagem. Remover o veículo ao depósito independente de regularização no local. Considerar infração efetuar transporte remunerado de bens com veículo sem autorização do poder concedente, em desacordo com a mesma ou em vias cuja circunscrição esteja em desacordo com a autorização. Considerar infração também veículo registrado na categoria particular efetuando transporte remunerado de bens sem estar cadastrado nas plataformas de aplicativos ou estando cadastrado, mas sem viagens ativas (abertas). Considerar infração também efetuar transporte remunerado de bens, não constando no RENACH que Exerce Atividade Remunerada - EAR ou motofretista efetuar a prestação do serviço com veículo que não esteja registrado na categoria aluguel. Conduzir motocicleta, motoneta e ciclomotor efetuando transporte remunerado de mercadoria sem autorização, em veículo que esteja registrado na categoria aluguel, utilizar código 755-21. Para fins deste enquadramento, o termo ""licenciado"" é a autorização do poder concedente para efetuar a atividade remunerada e seu devido registro no órgão executivo de trânsito estadual. Exemplo do campo de observação: ""Veículo transportando (discriminar a carga/bem) sem autorização para transporte remunerado de bens"". (Municipal, estadual e rodoviário).";GRAVÍSSIMA;7 PONTOS;PROPRIETÁRIO;transitar, veículo, efetuando, transporte, remunerado, bens, licenciado, fim, salvo, casos, força, maior, permissão, autoridade, competente
TRANSITAR COM O VEÍCULO DESLIGADO EM DECLIVE;Artigos 231, IX e 270 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Reter o veículo até que a irregularidade seja sanada. Transitar com o veículo desengrenado em declive, utilizar código 687-42. Exemplo do campo de observações: ""Veículo desligado em declive acentuado"". Lavrar o auto de infração. Possível sem abordagem. Reter o veículo até que a irregularidade seja sanada. Transitar com o veículo desengrenado em declive, utilizar código 687-42. Exemplo do campo de observações: ""Veículo desligado em declive acentuado"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;transitar, veículo, desligado, declive
TRANSITAR COM O VEÍCULO DESENGRENADO EM DECLIVE;Artigos 231, IX e 270 do CTB;"Lavrar o auto de infração. Possível sem abordagem. Reter o veículo até que a irregularidade seja sanada. Transitar com o veículo desligado em declive, utilizar código 687-41. Exemplo do campo de observações: ""Veículo desengrenado em declive não se utilizando do freio motor"". Lavrar o auto de infração. Possível sem abordagem. Reter o veículo até que a irregularidade seja sanada. Transitar com o veículo desligado em declive, utilizar código 687-41. Exemplo do campo de observações: ""Veículo desengrenado em declive não se utilizando do freio motor"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;CONDUTOR;transitar, veículo, desengrenado, declive
TRANSITAR COM O VEÍCULO EXCEDENDO A CAPACIDADE MÁXIMA DE TRAÇÃO EM ATÉ 600KG;Artigos 231,X , 270 e 275 do CTB, Res. 882/21 e 994/23 do CONTRAN;"Lavrar o auto de infração mediante abordagem. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e passageiros. Considerar infração veículo ou combinação de veículos exceder a CMT em até 600 kg, aferido por balança rodoviária ou verificado por meio do peso declarado em documento fiscal. A forma de fiscalização, os limites e tolerâncias estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Na verificação de peso por documento fiscal, deverá ser considerada a Tara do veículo. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do Veículo. Conduzir o veículo de carga, com falta de inscrição daTara e demais inscrições previstas neste Código,corresponde ao código 675-00, de competência Estadual / Rodoviário. Transitar com o veículo em desacordo com as especificações, e com falta de inscrição e simbologia necessárias à sua identificação, quando exigidas pela legislação, corresponde ao código 696-30, de competência Estadual / Rodoviário. Exemplos do campo de observações: ""Combinação de Veículo de Carga - CVC, com CMT, verificada na plaqueta de identificação do fabricante, inferior ao PBTC"" ,""Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, PBT/PBTC aferido por balança INMETRO: XXXXXX, aferição: xxxxxx"" , ""Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxxx"". Lavrar o auto de infração mediante abordagem. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e passageiros. Considerar infração veículo ou combinação de veículos exceder a CMT em até 600 kg, aferido por balança rodoviária ou verificado por meio do peso declarado em documento fiscal. A forma de fiscalização, os limites e tolerâncias estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Na verificação de peso por documento fiscal, deverá ser considerada a Tara do veículo. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do Veículo. Conduzir o veículo de carga, com falta de inscrição daTara e demais inscrições previstas neste Código,corresponde ao código 675-00, de competência Estadual / Rodoviário. Transitar com o veículo em desacordo com as especificações, e com falta de inscrição e simbologia necessárias à sua identificação, quando exigidas pela legislação, corresponde ao código 696-30, de competência Estadual / Rodoviário. Exemplos do campo de observações: ""Combinação de Veículo de Carga - CVC, com CMT, verificada na plaqueta de identificação do fabricante, inferior ao PBTC"" ,""Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, PBT/PBTC aferido por balança INMETRO: XXXXXX, aferição: xxxxxx"" , ""Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxxx"". (Municipal e rodoviário).";MÉDIA;4 PONTOS;PROPRIETÁRIO;transitar, veículo, excedendo, capacidade, máxima, tração, 600kg
TRANSITAR COM O VEÍCULO EXCEDENDO A CAPACIDADE MÁXIMA DE TRAÇÃO ENTRE 601 E 1000KG;Artigos 231,X, 270 e 275 do CTB, Res. 882/21 e 994/23 do CONTRAN;"Lavrar o auto de infração mediante abordagem. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e passageiros. Considerar infração veículo ou combinação de veículos exceder a CMT entre 601 e 1000 kg, aferido por balança rodoviária ou verificado por meio do peso declarado em documento fiscal. A forma de fiscalização, os limites e tolerâncias estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Na verificação de peso por documento fiscal, deverá ser considerada a Tara do veículo. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do Veículo. Conduzir o veículo de carga, com falta de inscrição da Tara e demais inscrições previstas neste Código,corresponde ao código 675-00, de competência Estadual / Rodoviário. Transitar com o veículo em desacordo com as especificações, e com falta de inscrição e simbologia necessárias à sua identificação, quando exigidas pela legislação, corresponde ao código 696-30, de competência Estadual / Rodoviário. Exemplos do campo de observações: ""Combinação de Veículo de Carga - CVC, com CMT, verificada na plaqueta de identificação do fabricante, inferior ao PBTC"" , 'Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxxx, balança INMETRO: XXXXXX, aferição: xxxxxx"" , ""Veículo (classificação e modelo), placa xxxxxxx,Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxx'. Lavrar o auto de infração mediante abordagem. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e passageiros. Considerar infração veículo ou combinação de veículos exceder a CMT entre 601 e 1000 kg, aferido por balança rodoviária ou verificado por meio do peso declarado em documento fiscal. A forma de fiscalização, os limites e tolerâncias estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Na verificação de peso por documento fiscal, deverá ser considerada a Tara do veículo. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do Veículo. Conduzir o veículo de carga, com falta de inscrição da Tara e demais inscrições previstas neste Código,corresponde ao código 675-00, de competência Estadual / Rodoviário. Transitar com o veículo em desacordo com as especificações, e com falta de inscrição e simbologia necessárias à sua identificação, quando exigidas pela legislação, corresponde ao código 696-30, de competência Estadual / Rodoviário. Exemplos do campo de observações: ""Combinação de Veículo de Carga - CVC, com CMT, verificada na plaqueta de identificação do fabricante, inferior ao PBTC"" , 'Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxxx, balança INMETRO: XXXXXX, aferição: xxxxxx"" , ""Veículo (classificação e modelo), placa xxxxxxx,Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxx'. (Municipal e rodoviário).";GRAVE;5 PONTOS;PROPRIETÁRIO;transitar, veículo, excedendo, capacidade, máxima, tração, 601, 1000kg
TRANSITAR COM O VEÍCULO EXCEDENDO A CAPACIDADE MÁXIMA DE TRAÇÃO ACIMA DE 1000KG;Artigos 231,X, 270 e 275 do CTB, Res. 882/21 e 994/23 do CONTRAN;"Lavrar o auto de infração mediante abordagem. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e passageiros. Considerar infração veículo ou combinação de veículos exceder a CMT acima de 1000 kg, aferido por balança rodoviária ou verificado por meio do peso declarado em documento fiscal. A forma de fiscalização, os limites e tolerâncias estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Na verificação de peso por documento fiscal, deverá ser considerada a Tara do veículo. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do Veículo. Conduzir o veículo de carga, com falta de inscrição da Tara e demais inscrições previstas neste Código,corresponde ao código 675-00, de competência Estadual / Rodoviário. Transitar com o veículo em desacordo com as especificações, e com falta de inscrição e simbologia necessárias à sua identificação, quando exigidas pela legislação, corresponde ao código 696-30, de competência Estadual / Rodoviário. Exemplos do campo de observações: ""Combinação de Veículo de Carga - CVC, com CMT, verificada na plaqueta de identificação do fabricante, inferior ao PBTC"" , ''Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxxx, balança INMETRO: XXXXXX, aferição: xxxxxx"" , ""Veículo (classificação e modelo), placa xxxxxxx,Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxx'. Lavrar o auto de infração mediante abordagem. Reter o veículo até o transbordo da carga excedente. Não sendo possível realizar o transbordo da carga, o veículo será recolhido ao depósito. A critério do agente, observadas as condições de segurança, poderá ser dispensado o remanejamento ou transbordo de produtos perigosos, produtos perecíveis, cargas vivas e passageiros. Considerar infração veículo ou combinação de veículos exceder a CMT acima de 1000 kg, aferido por balança rodoviária ou verificado por meio do peso declarado em documento fiscal. A forma de fiscalização, os limites e tolerâncias estão estabelecidos na Resolução 882/21 do CONTRAN e suas alterações. Na verificação de peso por documento fiscal, deverá ser considerada a Tara do veículo. Os dados relativos à CMT, Tara, Lotação, PBT e PBTC podem ser verificados nas plaquetas apostas pelos fabricantes, encarroçadores ou implementadores, conforme o caso, na ficha técnica do veículo ou, alternativamente, na tabela do Quadro de Fabricantes do Veículo. Conduzir o veículo de carga, com falta de inscrição da Tara e demais inscrições previstas neste Código,corresponde ao código 675-00, de competência Estadual / Rodoviário. Transitar com o veículo em desacordo com as especificações, e com falta de inscrição e simbologia necessárias à sua identificação, quando exigidas pela legislação, corresponde ao código 696-30, de competência Estadual / Rodoviário. Exemplos do campo de observações: ""Combinação de Veículo de Carga - CVC, com CMT, verificada na plaqueta de identificação do fabricante, inferior ao PBTC"" , ''Veículo (classificação e modelo), placa xxxxxxx, Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxxx, balança INMETRO: XXXXXX, aferição: xxxxxx"" , ""Veículo (classificação e modelo), placa xxxxxxx,Tara: xxxx, CMT conforme fabricante: xxxxxxx, carga transportada: xxxxxxxkg de asfalto, NF nº xxxx'. (Municipal e rodoviário).";GRAVÍSSIMA;7 PONTOS;PROPRIETÁRIO;transitar, veículo, excedendo, capacidade, máxima, tração, acima, 1000kg
